"block_number","triad","target_image_pair","part","prime_word","target_word","type","relatedness","correct_response","image_path","correct_key"
1,1,"cash-rock","priming","zock","cash","direct","related",1,"cashrock.png","A"
1,1,"cash-rock","priming","fash","cash","direct","unrelated",1,"cashrock.png","A"
1,1,"cash-rock","priming","nuppical","cash","novel","novel",1,"cashrock.png","A"
1,1,"cash-rock","priming","boff","cash","novel","novel",1,"cashrock.png","A"
1,2,"cash-rock","priming","zock","rock","direct","unrelated",3,"cashrock.png","L"
1,2,"cash-rock","priming","fash","rock","direct","related",3,"cashrock.png","L"
1,2,"cash-rock","priming","nuppical","rock","novel","novel",3,"cashrock.png","L"
1,2,"cash-rock","priming","boff","rock","novel","novel",3,"cashrock.png","L"
1,1,"rock-cash","priming","zock","cash","direct","related",3,"rockcash.png","L"
1,1,"rock-cash","priming","fash","cash","direct","unrelated",3,"rockcash.png","L"
1,1,"rock-cash","priming","nuppical","cash","novel","novel",3,"rockcash.png","L"
1,1,"rock-cash","priming","boff","cash","novel","novel",3,"rockcash.png","L"
1,2,"rock-cash","priming","zock","rock","direct","unrelated",1,"rockcash.png","A"
1,2,"rock-cash","priming","fash","rock","direct","related",1,"rockcash.png","A"
1,2,"rock-cash","priming","nuppical","rock","novel","novel",1,"rockcash.png","A"
1,2,"rock-cash","priming","boff","rock","novel","novel",1,"rockcash.png","A"
1,1,"cash-rock","priming","zock","cash","direct","related",1,"cashrock.png","A"
1,1,"cash-rock","priming","fash","cash","direct","unrelated",1,"cashrock.png","A"
1,2,"cash-rock","priming","zock","rock","direct","unrelated",3,"cashrock.png","L"
1,2,"cash-rock","priming","fash","rock","direct","related",3,"cashrock.png","L"
1,1,"rock-cash","priming","zock","cash","direct","related",3,"rockcash.png","L"
1,1,"rock-cash","priming","fash","cash","direct","unrelated",3,"rockcash.png","L"
1,2,"rock-cash","priming","zock","rock","direct","unrelated",1,"rockcash.png","A"
1,2,"rock-cash","priming","fash","rock","direct","related",1,"rockcash.png","A"